;;Nabijheid voorzieningen|Gezondheid|Afstand tot huisartsenpraktijk km;Nabijheid voorzieningen|Gezondheid|Aantal huisartsenpraktijken binnen 3 km aantal;Nabijheid voorzieningen|Gezondheid|Afstand tot huisartsenpost km;Nabijheid voorzieningen|Gezondheid|Afstand tot ziekenhuis km ;Nabijheid voorzieningen|Gezondheid|Aantal ziekenhuizen binnen 20 km ;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Code;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Jeugdregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Jeugdregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale Energiestrategie regio's|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale Energiestrategie regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam;Lokalisering|Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code;Lokalisering|Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|SubRES-regio's|Code;Lokalisering|Lokaliseringen van gemeenten|SubRES-regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Veilig Thuis regio's|Code;Lokalisering|Lokaliseringen van gemeenten|Veilig Thuis regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Veiligheidsregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Veiligheidsregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Zorgkantoorregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam;Lokalisering|Koppelvariabele regio (code)
Nederland;2022;1,1;7,8;6,9;7,3;4,2;;;;;;;;;;;;;;;;;;;;;;;NL01
Nederland;2023;1,1;7,7;6,9;7,3;4,2;;;;;;;;;;;;;;;;;;;;;;;NL01
Nederland;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;NL01
Zuid-Nederland (LD);2022;1,1;5,2;7,1;7,2;2,5;;;;;;;;;;;;;;;;;;;;;;;LD04
Zuid-Nederland (LD);2023;1,1;5,3;7,1;7,2;2,5;;;;;;;;;;;;;;;;;;;;;;;LD04
Zuid-Nederland (LD);2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;LD04
Overijssel (PV);2022;1,3;5,1;9;9;1,7;;;;;;;;;;;;;;;;;;;;;;;PV23
Overijssel (PV);2023;1,3;5;9,1;9;1,7;;;;;;;;;;;;;;;;;;;;;;;PV23
Overijssel (PV);2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;PV23
Noord-Friesland (CR);2022;1,5;4,3;11,6;15,2;0,8;;;;;;;;;;;;;;;;;;;;;;;CR04
Noord-Friesland (CR);2023;1,5;4,3;11,6;15,2;0,8;;;;;;;;;;;;;;;;;;;;;;;CR04
Noord-Friesland (CR);2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;CR04
Arnhem;2022;1;5,7;3;5,2;2,9;AM07;Midden-Gelderland;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden;JZ28;CentraalGelderland;RE02;Oost-Nederland;ES08;Arnhem/Nijmegen;MC41;Arnhem;RA0309;Midden-Gelderland;ET0801;Arnhem/Nijmegen;VT05;Gelderland-Midden;VR07;Gelderland-Midden;ZK04;Arnhem;GM0202
Arnhem;2023;1;5,7;3;5,2;2,9;AM07;Midden-Gelderland;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden;JZ28;CentraalGelderland;RE02;Oost-Nederland;ES08;Arnhem/Nijmegen;MC41;Arnhem;RA0309;Midden-Gelderland;ET0801;Arnhem/Nijmegen;VT05;Gelderland-Midden;VR07;Gelderland-Midden;ZK04;Arnhem;GM0202
Arnhem;2024;;;;;;AM07;Midden-Gelderland;GG1911;Veiligheids-enGezondheidsregioGelderland-Midden;JZ28;CentraalGelderland;RE02;Oost-Nederland;ES08;Arnhem/Nijmegen;MC41;Arnhem;RA0309;Midden-Gelderland;ET0801;Arnhem/Nijmegen;VT05;Gelderland-Midden;VR07;Gelderland-Midden;ZK04;Arnhem;GM0202
Haarlem;2022;0,6;15,9;2,6;2,6;7,3;AM37;Zuid-KennemerlandenIJmond;GG3109;GGDKennemerland;JZ11;ZuidKennemerland;RE04;Noord-Holland;ES16;Noord-HollandZuid;MC25;Zuid-KennemerlandenIJmond;RA0717;Amstelland,KennemerlandenMeerlanden;ET1602;IJmond-Zuid-Kennemerland;VT12;Kennemerland;VR12;Kennemerland;ZK11;Kennemerland;GM0392
Haarlem;2023;0,6;16,3;2,6;2,6;7,2;AM37;Zuid-KennemerlandenIJmond;GG3109;GGDKennemerland;JZ11;ZuidKennemerland;RE04;Noord-Holland;ES16;Noord-HollandZuid;MC25;Zuid-KennemerlandenIJmond;RA0717;Amstelland,KennemerlandenMeerlanden;ET1602;IJmond-Zuid-Kennemerland;VT12;Kennemerland;VR12;Kennemerland;ZK11;Kennemerland;GM0392
Haarlem;2024;;;;;;AM37;Zuid-KennemerlandenIJmond;GG3109;GGDKennemerland;JZ11;ZuidKennemerland;RE04;Noord-Holland;ES16;Noord-HollandZuid;MC25;Zuid-KennemerlandenIJmond;RA0717;Amstelland,KennemerlandenMeerlanden;ET1602;IJmond-Zuid-Kennemerland;VT12;Kennemerland;VR12;Kennemerland;ZK11;Kennemerland;GM0392
Zwijndrecht;2022;0,7;6,3;6,7;2,6;8,2;AM23;Drechtsteden;GG4816;DienstGezondheid&JeugdZHZ;JZ31;Zuid-HollandZuid;RE07;Rotterdam;ES18;Drechtsteden;MC30;Zuid-Holland-Zuid;RA1121;Zuid-HollandZuid;ET1801;Drechtsteden;VT24;Zuid-Holland-Zuid;VR18;Zuid-Holland-Zuid;ZK24;Waardenland;GM0642
Zwijndrecht;2023;0,7;6,3;6,7;2,8;8,2;AM23;Drechtsteden;GG4816;DienstGezondheid&JeugdZHZ;JZ31;Zuid-HollandZuid;RE07;Rotterdam;ES18;Drechtsteden;MC30;Zuid-Holland-Zuid;RA1121;Zuid-HollandZuid;ET1801;Drechtsteden;VT24;Zuid-Holland-Zuid;VR18;Zuid-Holland-Zuid;ZK24;Waardenland;GM0642
Zwijndrecht;2024;;;;;;AM23;Drechtsteden;GG4816;DienstGezondheid&JeugdZHZ;JZ31;Zuid-HollandZuid;RE07;Rotterdam;ES18;Drechtsteden;MC30;Zuid-Holland-Zuid;RA1121;Zuid-HollandZuid;ET1801;Drechtsteden;VT24;Zuid-Holland-Zuid;VR18;Zuid-Holland-Zuid;ZK24;Waardenland;GM0642
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
